$,$,$
Patron,7436,29
Patron,7219,13
Patron,7131,6
Patron,7023,41
Patron,7001,1
Patron,6814,21
Patron,6677,14
Patron,6434,90
Patron,5885,20
Patron,5841,40
Patron,5833,20
Patron,5831,1
Patron,5589,18
Patron,5562,10
Patron,4360,2
Patron,4287,1
Patron,4220,33
Patron,2832,2
Patron,2788,17
Patron,2606,21
Patron,2137,65
Patron,827,26
Patron,610,1
Patron,460,4
Patron,313,1
$,$,$
Lokomotiv Gondola,7351,34
Lokomotiv Gondola,7294,25
Lokomotiv Gondola,7252,1
Lokomotiv Gondola,7172,1
Lokomotiv Gondola,7126,59
Lokomotiv Gondola,7070,14
Lokomotiv Gondola,6990,1
Lokomotiv Gondola,6844,40
Lokomotiv Gondola,6727,9
Lokomotiv Gondola,6675,84
Lokomotiv Gondola,6398,10
Lokomotiv Gondola,6215,1
Lokomotiv Gondola,5998,1
Lokomotiv Gondola,5882,1
Lokomotiv Gondola,5851,2
Lokomotiv Gondola,5436,3
Lokomotiv Gondola,5320,1
Lokomotiv Gondola,5022,18
Lokomotiv Gondola,4976,21
Lokomotiv Gondola,4433,10
Lokomotiv Gondola,4401,5
Lokomotiv Gondola,2766,62
Lokomotiv Gondola,2379,59
Lokomotiv Gondola,184,15
Lokomotiv Gondola,133,16
$,$,$
FC Ser Potter,7181,40
FC Ser Potter,7175,1
FC Ser Potter,6994,1
FC Ser Potter,6916,1
FC Ser Potter,6831,1
FC Ser Potter,6572,39
FC Ser Potter,6218,1
FC Ser Potter,6151,10
FC Ser Potter,6015,1
FC Ser Potter,5838,1
FC Ser Potter,5701,1
FC Ser Potter,5672,1
FC Ser Potter,5544,1
FC Ser Potter,5520,24
FC Ser Potter,5116,46
FC Ser Potter,4887,5
FC Ser Potter,4777,91
FC Ser Potter,4436,1
FC Ser Potter,4159,22
FC Ser Potter,2814,6
FC Ser Potter,2764,125
FC Ser Potter,2155,1
FC Ser Potter,1926,1
FC Ser Potter,632,66
FC Ser Potter,530,4
$,$,$
Charlatans,7472,12
Charlatans,7301,1
Charlatans,6989,4
Charlatans,6966,40
Charlatans,6956,38
Charlatans,6893,1
Charlatans,6822,1
Charlatans,6531,11
Charlatans,6426,8
Charlatans,6294,1
Charlatans,6274,13
Charlatans,6243,1
Charlatans,6229,7
Charlatans,5877,1
Charlatans,5791,5
Charlatans,5761,3
Charlatans,5695,1
Charlatans,5674,1
Charlatans,5637,67
Charlatans,5585,125
Charlatans,5559,41
Charlatans,5119,31
Charlatans,4409,34
Charlatans,4236,4
Charlatans,531,49
$,$,$
Penic Hellas FC,7535,3
Penic Hellas FC,7485,6
Penic Hellas FC,7449,1
Penic Hellas FC,7349,1
Penic Hellas FC,7314,25
Penic Hellas FC,7017,71
Penic Hellas FC,6908,38
Penic Hellas FC,6684,35
Penic Hellas FC,6666,6
Penic Hellas FC,6641,30
Penic Hellas FC,6632,2
Penic Hellas FC,6010,5
Penic Hellas FC,5995,45
Penic Hellas FC,5876,1
Penic Hellas FC,5844,11
Penic Hellas FC,5750,16
Penic Hellas FC,5641,17
Penic Hellas FC,5526,12
Penic Hellas FC,5507,1
Penic Hellas FC,4952,1
Penic Hellas FC,4871,94
Penic Hellas FC,4728,28
Penic Hellas FC,2120,26
Penic Hellas FC,1852,16
Penic Hellas FC,218,1
$,$,$
Ingenerale Lee fc,7484,25
Ingenerale Lee fc,7332,7
Ingenerale Lee fc,7313,9
Ingenerale Lee fc,6884,25
Ingenerale Lee fc,6678,8
Ingenerale Lee fc,6530,1
Ingenerale Lee fc,6320,9
Ingenerale Lee fc,6052,91
Ingenerale Lee fc,6042,10
Ingenerale Lee fc,5823,7
Ingenerale Lee fc,5800,22
Ingenerale Lee fc,5555,4
Ingenerale Lee fc,5365,18
Ingenerale Lee fc,4845,1
Ingenerale Lee fc,4807,18
Ingenerale Lee fc,4510,35
Ingenerale Lee fc,4359,11
Ingenerale Lee fc,4312,31
Ingenerale Lee fc,2816,20
Ingenerale Lee fc,2815,1
Ingenerale Lee fc,2528,1
Ingenerale Lee fc,2517,50
Ingenerale Lee fc,2423,59
Ingenerale Lee fc,2077,5
Ingenerale Lee fc,554,13
$,$,$
Calciocavallo FC,7464,12
Calciocavallo FC,7071,20
Calciocavallo FC,6986,10
Calciocavallo FC,6869,18
Calciocavallo FC,6660,1
Calciocavallo FC,6646,1
Calciocavallo FC,6638,1
Calciocavallo FC,6549,1
Calciocavallo FC,6435,53
Calciocavallo FC,6217,6
Calciocavallo FC,5862,18
Calciocavallo FC,5792,21
Calciocavallo FC,5734,20
Calciocavallo FC,5687,57
Calciocavallo FC,4994,9
Calciocavallo FC,4896,3
Calciocavallo FC,4892,28
Calciocavallo FC,2845,1
Calciocavallo FC,2640,6
Calciocavallo FC,2170,15
Calciocavallo FC,2061,56
Calciocavallo FC,1933,20
Calciocavallo FC,1870,37
Calciocavallo FC,572,37
Calciocavallo FC,536,36
$,$,$
Nome della Squadra,7347,2
Nome della Squadra,6904,2
Nome della Squadra,6875,81
Nome della Squadra,6680,1
Nome della Squadra,6672,1
Nome della Squadra,6669,5
Nome della Squadra,6664,9
Nome della Squadra,6663,1
Nome della Squadra,6642,7
Nome della Squadra,6462,14
Nome della Squadra,6164,11
Nome della Squadra,5888,12
Nome della Squadra,5858,3
Nome della Squadra,5504,1
Nome della Squadra,5500,3
Nome della Squadra,4502,1
Nome della Squadra,4485,1
Nome della Squadra,4431,34
Nome della Squadra,4364,29
Nome della Squadra,4317,8
Nome della Squadra,4210,10
Nome della Squadra,2097,83
Nome della Squadra,2038,50
Nome della Squadra,254,79
Nome della Squadra,152,52
$,$,$
atletico al bar,7414,27
atletico al bar,7412,1
atletico al bar,7374,1
atletico al bar,7223,1
atletico al bar,7212,1
atletico al bar,7078,92
atletico al bar,6898,1
atletico al bar,6821,2
atletico al bar,6783,3
atletico al bar,6496,15
atletico al bar,6495,1
atletico al bar,6403,1
atletico al bar,6397,121
atletico al bar,6248,1
atletico al bar,6204,1
atletico al bar,5918,1
atletico al bar,4911,23
atletico al bar,4870,1
atletico al bar,4817,6
atletico al bar,4734,10
atletico al bar,4371,33
atletico al bar,2521,27
atletico al bar,2194,77
atletico al bar,2188,3
atletico al bar,309,50
$,$,$
Atletico Sburrevole,7547,2
Atletico Sburrevole,7529,8
Atletico Sburrevole,7337,1
Atletico Sburrevole,7274,1
Atletico Sburrevole,7129,4
Atletico Sburrevole,6967,42
Atletico Sburrevole,6895,1
Atletico Sburrevole,6766,10
Atletico Sburrevole,6485,3
Atletico Sburrevole,6482,20
Atletico Sburrevole,6060,13
Atletico Sburrevole,5951,141
Atletico Sburrevole,5878,11
Atletico Sburrevole,5514,10
Atletico Sburrevole,5029,1
Atletico Sburrevole,4973,41
Atletico Sburrevole,4923,51
Atletico Sburrevole,4657,5
Atletico Sburrevole,2765,1
Atletico Sburrevole,2741,11
Atletico Sburrevole,2514,16
Atletico Sburrevole,2296,16
Atletico Sburrevole,2167,83
Atletico Sburrevole,2134,2
Atletico Sburrevole,779,6
